index;x;y;z
350;0.006139;0.149406;-0.243786
351;-0.006667;0.220814;0.212110
352;0.002023;0.199629;0.932864
353;-0.098038;0.202259;1.140470
354;-0.092965;0.208950;0.810332
355;-0.125182;-0.023071;0.484499
356;-0.085467;0.007596;0.233757
357;-0.044684;0.034154;0.084313
358;-0.009791;0.040635;0.008445
359;-0.020280;0.039885;-0.129512
360;-0.007878;0.070269;-0.120846
361;0.035575;0.022448;-0.148030
362;0.048401;0.039118;-0.150631
363;0.041838;0.016424;-0.067273
364;0.048117;-0.009154;-0.099382
365;0.047368;0.022119;-0.006954
366;0.007482;-0.006412;-0.031177
367;0.006092;-0.024060;-0.074749
368;0.000294;0.018031;-0.122214
369;0.009968;0.015823;-0.151214
370;-0.010720;0.020065;-0.096121
371;0.016589;0.005747;-0.078009
372;-0.007718;-0.028065;-0.031850
373;0.035243;0.011101;-0.023370
374;-0.021234;-0.016460;0.025278
375;0.004214;0.011717;0.028221
376;-0.024058;-0.004155;0.019368
377;-0.005202;-0.015642;0.013076
378;0.016732;0.008326;-0.005915
379;0.008089;-0.019338;0.003755
380;0.072997;0.045551;0.031006
