index;x;y;z
223;-0.824463;-0.197159;-0.958328
224;-0.480072;-0.137482;-0.833282
225;0.093613;-0.095764;-0.698761
226;0.421860;-0.015778;-0.770889
227;0.463531;0.079590;-1.019089
228;0.229446;0.025269;-0.972534
229;0.012238;-0.073074;-1.283173
230;-0.177353;-0.087875;-1.876007
231;-0.162201;-0.012543;-2.283249
232;-0.010269;0.089661;-1.654129
233;0.080673;0.182541;-0.575287
234;0.081757;0.125885;0.354523
235;0.072250;0.056503;0.657822
236;0.148178;-0.045563;0.342896
237;-0.190262;-0.060562;-0.440094
238;-0.232971;-0.056580;-2.047791
239;-0.086868;-0.055923;-2.920990
240;-0.007477;-0.114182;-2.835892
241;-0.020325;0.019531;-1.717743
242;0.035004;0.169769;-0.335480
243;0.131592;0.180893;0.576828
244;0.173187;0.099442;0.758163
245;0.023972;-0.004776;0.483963
246;-0.100433;0.046463;-0.949295
247;-0.135620;0.034210;-2.686783
248;-0.069336;-0.024963;-3.200623
249;-0.063736;-0.065979;-2.421188
250;0.001129;0.074860;-1.050552
251;0.070084;0.158371;0.028610
252;0.102509;0.110001;0.753281
253;0.114166;-0.019730;0.871231
254;-0.033142;0.118256;0.037079
255;-0.046021;0.170837;-1.735626
256;-0.132309;0.096939;-2.959106
257;-0.056854;-0.076920;-3.175354
258;-0.071777;-0.020767;-1.972961
259;0.055099;0.163773;-0.667450
260;0.090790;0.181778;0.377563
261;0.115387;0.103760;0.863327
262;-0.021790;-0.045822;0.781525
263;-0.134964;0.067780;-0.402985
264;-0.140198;0.165009;-2.312210
265;-0.081848;0.163254;-3.415329
266;0.035629;-0.037323;-2.994888
267;0.000824;0.043427;-1.423233
268;0.036652;0.194199;-0.195038
269;0.093430;0.176620;0.641052
270;0.146683;0.030838;0.980789
271;-0.020950;-0.035782;0.486862
272;-0.147003;0.144196;-1.151794
273;-0.245712;0.155823;-2.619476
274;-0.144211;0.024826;-3.028214
275;-0.006958;-0.088943;-2.313644
276;0.092468;0.018707;-1.042999
277;0.136703;0.034653;-0.079285
278;0.199112;0.036636;0.395615
279;0.288849;-0.064133;0.426086
280;0.078033;0.067688;-0.355942
281;-0.171341;0.112167;-1.732391
282;-0.447647;0.008102;-2.224930
283;-0.619919;-0.143036;-1.930222
284;-0.512817;-0.124756;-1.219376
285;-0.210190;0.007507;-0.779846
286;0.380875;-0.033447;-0.523605
287;1.143875;-0.080933;-0.664886
288;1.320984;0.104446;-1.029922
289;0.445145;0.217545;-1.093216
290;-0.714981;-0.046967;-1.092300
291;-1.185379;-0.238068;-0.885712
292;-0.975510;-0.227661;-0.893021
293;-0.321777;-0.182175;-0.839035
294;0.743423;-0.075516;-0.913116
295;1.280289;0.188797;-1.236450
296;1.047180;0.316360;-1.317871
297;0.159866;0.076553;-1.004974
298;-0.859619;-0.239197;-0.888275
299;-1.149185;-0.348328;-0.958527
300;-0.806274;-0.229736;-0.902573
301;0.064148;-0.137131;-0.765244
302;1.087570;0.083237;-1.004745
303;1.310883;0.310287;-1.336868
304;0.662247;0.224258;-1.210983
305;-0.211456;-0.005356;-0.875595
306;-0.613342;-0.084625;-0.799942
307;-0.626038;0.010193;-0.905060
308;-0.396332;-0.009644;-1.093704
309;-0.070312;-0.270569;-1.099396
310;0.273239;-0.583649;-1.145386
311;0.432861;-0.707031;-1.253769
312;0.224182;-0.429367;-1.108063
313;0.059280;0.016006;-0.768875
314;-0.065125;0.801407;-0.862335
315;-0.106277;1.058594;-1.085846
316;-0.095688;0.500137;-0.686142
317;-0.023438;-0.390366;-0.611359
318;-0.015244;-1.074753;-1.088806
319;-0.096481;-1.097931;-1.284988
320;0.064728;-0.505081;-1.251785
321;0.069534;0.502701;-1.002106
322;0.057938;1.140030;-1.223709
323;0.042480;0.939590;-1.036484
324;-0.031998;0.089935;-0.545853
325;-0.056702;-0.832764;-0.889481
326;-0.056931;-1.229340;-1.262756
327;-0.062042;-0.806152;-1.184998
328;0.079086;-0.019714;-1.034439
329;-0.049713;0.964996;-0.881821
330;0.008530;1.236206;-1.212479
331;-0.028000;0.674179;-0.837311
332;0.076294;-0.301865;-0.712677
333;0.023682;-1.089020;-1.046814
334;-0.010757;-1.262924;-1.236053
